	par_Num	condition	Backspace_presses	Writing_Time	Time_per_Keystroke	Dwelltime_Mean	Dwelltime_SD	Trial_Onset_Mean	Trial_Onset_SD	Trial_Time_Mean	Trial_Time_SD	Latency_Mean	Latency_SD
HS_3CDPvCyqw2gjLuL0axmSpWW50mM2	1	HS	0	36.048	0.8582857142857143	98.683	38.601	1795.286	358.45	3642.714	914.372	612.943	405.11
LS_3CDPvCyqw2gjLuL0axmSpWW50mM2	1	LS	0	30.999	0.7380714285714285	109.902	38.881	1355.857	531.354	3334.714	1379.418	492.486	392.481
HS_3zg64WrP4VZVeHHLCrapRRjTeg72	2	HS	0	30.031	0.7150238095238095	84.805	22.281	1560.286	322.065	3005.429	476.274	501.743	366.373
LS_3zg64WrP4VZVeHHLCrapRRjTeg72	2	LS	0	30.416	0.7241904761904762	83.805	18.421	1493.0	187.923	3095.857	529.625	521.0	315.277
HS_4DbjxSM6kiOhBN0SiBOPf3rUouU2	3	HS	0	31.079	0.7399761904761905	72.707	7.964	1491.286	342.48	3271.0	622.272	569.029	383.477
LS_4DbjxSM6kiOhBN0SiBOPf3rUouU2	3	LS	0	30.816	0.7337142857142857	70.683	8.236	1454.857	217.37	3193.286	507.56	555.857	253.92
HS_4ibZh6HiVrPknUuvasf6CIVD1L42	4	HS	0	34.76	0.8276190476190476	66.341	10.328	1404.429	220.429	3807.143	699.894	683.714	352.957
LS_4ibZh6HiVrPknUuvasf6CIVD1L42	4	LS	0	32.976	0.7851428571428571	65.512	10.481	1313.286	233.092	3662.286	327.979	655.714	307.997
HS_4p9k0i46VuYQCDpPM8xbX8u9wCu2	5	HS	0	27.512	0.6550476190476191	77.39	14.577	1409.571	164.094	2762.286	421.669	461.8	283.207
LS_4p9k0i46VuYQCDpPM8xbX8u9wCu2	5	LS	0	26.975	0.6422619047619048	70.951	9.589	1391.286	255.618	2732.714	376.594	463.429	310.473
HS_5uh8epwAgKZWoPcU94ZXEqe9ImG2	6	HS	3	34.599	0.7208125	74.255	13.314	1651.429	596.405	3712.0	1116.818	548.634	366.688
LS_5uh8epwAgKZWoPcU94ZXEqe9ImG2	6	LS	0	29.487	0.7020714285714286	74.098	11.461	1535.429	237.814	2957.143	363.521	504.629	252.905
HS_6ZROnRQOahWOSqTeZaxHCVK8tak1	7	HS	0	33.088	0.7878095238095238	80.878	16.786	1430.714	327.433	3589.857	648.795	623.229	311.363
LS_6ZROnRQOahWOSqTeZaxHCVK8tak1	7	LS	0	30.799	0.7333095238095237	95.585	20.696	1604.714	302.707	3050.286	555.965	498.086	362.828
HS_9DdqeM3mkRWvD4MCMcWvFH4wIhA2	8	HS	0	29.895	0.7117857142857142	97.39	23.283	1430.714	284.723	3125.286	672.943	510.971	285.935
LS_9DdqeM3mkRWvD4MCMcWvFH4wIhA2	8	LS	0	29.688	0.7068571428571429	92.683	23.677	1499.429	287.074	3033.286	653.251	498.086	232.129
HS_BjvdfWwrEmRveOUJ4CQWiHYhQ9t2	9	HS	0	30.504	0.7262857142857143	56.634	7.96	1465.857	448.947	3243.571	665.771	582.371	380.208
LS_BjvdfWwrEmRveOUJ4CQWiHYhQ9t2	9	LS	0	29.391	0.6997857142857142	56.22	8.236	1263.0	212.974	3180.0	643.464	570.143	370.349
HS_DEhCMZqN9jOlZWFNQQk4YHoix5u2	10	HS	0	38.128	0.9078095238095238	87.537	36.987	2343.286	577.792	3581.0	1272.235	613.657	447.438
LS_DEhCMZqN9jOlZWFNQQk4YHoix5u2	10	LS	7	51.776	0.8926896551724138	62.246	26.707	2901.0	550.823	4785.571	4437.147	587.275	563.191
HS_GIYSPPHWThTDBWb3tJufZguFAIT2	11	HS	2	34.519	0.7504130434782609	84.333	14.935	1766.0	764.093	3677.714	763.956	562.795	332.855
LS_GIYSPPHWThTDBWb3tJufZguFAIT2	11	LS	0	30.543	0.7272142857142857	87.585	16.28	1550.571	205.499	3088.0	521.872	515.0	268.652
HS_GzlieWRWOJgquA0nDZtBFExSW0E2	12	HS	0	29.608	0.704952380952381	91.732	23.981	1401.143	230.997	3071.143	414.621	506.771	321.413
LS_GzlieWRWOJgquA0nDZtBFExSW0E2	12	LS	0	28.776	0.6851428571428572	93.195	19.677	1576.429	406.837	2885.571	397.18	467.943	271.72
HS_HRG51LMnAINeFapr6S17LQ1goP03	13	HS	0	37.769	0.8992619047619047	83.829	13.241	2233.286	820.754	3714.714	950.533	644.743	358.075
LS_HRG51LMnAINeFapr6S17LQ1goP03	13	LS	0	34.696	0.826095238095238	100.073	18.101	1836.286	608.84	3574.0	679.177	597.571	290.095
HS_INFvFzlNN7UeZRqvtoe8hejtnvX2	14	HS	2	28.761	0.6252391304347826	42.511	10.151	1381.714	112.696	2951.714	498.283	480.744	392.659
LS_INFvFzlNN7UeZRqvtoe8hejtnvX2	14	LS	1	30.159	0.6854318181818182	44.977	10.949	1544.143	271.327	3021.571	505.76	519.378	397.491
HS_KgE7UfPH9kbLgv15Vi6DU7xbAzC2	15	HS	0	31.583	0.7519761904761905	85.293	23.939	1623.714	337.159	3183.857	946.467	536.857	439.414
LS_KgE7UfPH9kbLgv15Vi6DU7xbAzC2	15	LS	0	28.888	0.6878095238095239	102.463	35.516	1368.286	211.618	3022.571	491.054	484.486	295.986
HS_M9n7RYfdPmgJeocUVYS9uDODh4B2	16	HS	0	36.032	0.8579047619047618	163.195	56.521	1806.714	489.129	3759.857	682.689	560.8	464.72
LS_M9n7RYfdPmgJeocUVYS9uDODh4B2	16	LS	0	36.952	0.8798095238095238	152.024	65.834	1572.714	689.948	4065.0	1546.15	588.457	551.212
HS_O4TDUgPDzOWhPQkQpSRb3U2E0Fp1	17	HS	1	29.096	0.6612727272727272	59.488	7.819	1291.286	190.965	3094.0	677.784	516.216	350.084
LS_O4TDUgPDzOWhPQkQpSRb3U2E0Fp1	17	LS	0	29.615	0.7051190476190475	56.707	8.119	1513.0	476.904	3092.714	587.322	552.114	306.548
HS_PRPyIVrPUVgCFtZ60nqvXc4wUov2	18	HS	0	32.495	0.7736904761904762	65.512	8.082	1796.571	606.572	3196.286	432.891	562.514	360.92
LS_PRPyIVrPUVgCFtZ60nqvXc4wUov2	18	LS	0	31.639	0.7533095238095238	67.415	8.662	1554.714	375.977	3273.286	522.474	575.686	459.259
HS_QJ1jbbS5crQeT8NtefEk8cqck6a2	19	HS	5	38.721	0.7446346153846153	68.725	11.109	1396.714	220.683	4342.0	1509.715	597.533	370.717
LS_QJ1jbbS5crQeT8NtefEk8cqck6a2	19	LS	0	31.392	0.7474285714285714	78.195	19.842	1347.0	201.13	3373.0	708.055	583.0	349.68
HS_QRz0EZtD8ceVPVRc4Y8hiFvdYNh1	20	HS	1	39.728	0.902909090909091	58.814	7.311	1497.286	353.102	4495.143	1182.996	782.081	590.234
LS_QRz0EZtD8ceVPVRc4Y8hiFvdYNh1	20	LS	0	39.512	0.9407619047619048	61.171	9.396	1586.714	296.214	4349.143	803.959	798.171	584.587
HS_UTMomBGCn4Yfj7UNPulxMd6x2jx1	22	HS	0	32.191	0.766452380952381	68.805	11.331	1631.571	312.619	3300.571	391.347	579.514	226.874
LS_UTMomBGCn4Yfj7UNPulxMd6x2jx1	22	LS	0	32.503	0.7738809523809523	64.463	11.974	1614.429	281.086	3239.857	516.762	572.457	376.065
HS_V6TlsMC21YbLX2MyjUiEiVrhgMk2	23	HS	0	37.815	0.9003571428571429	97.317	15.312	2430.571	565.922	3262.714	1338.002	538.543	542.486
LS_V6TlsMC21YbLX2MyjUiEiVrhgMk2	23	LS	1	41.287	0.9174888888888889	88.273	29.868	3457.143	376.658	2852.714	1849.096	423.289	493.989
HS_Vhi1KMa2MecuTnTzWb8QBp9rNDw1	24	HS	1	33.864	0.7696363636363636	84.349	10.289	1403.714	165.31	3667.571	994.7	595.838	297.699
LS_Vhi1KMa2MecuTnTzWb8QBp9rNDw1	24	LS	0	30.968	0.7373333333333333	88.024	8.242	1696.571	218.824	2993.429	540.204	495.571	282.967
HS_WpwRDjuqqdRavEdFOgqbpRA19Q32	25	HS	2	35.272	0.7667826086956522	89.022	43.764	1432.714	387.286	3859.0	1158.106	589.923	388.71
LS_WpwRDjuqqdRavEdFOgqbpRA19Q32	25	LS	2	38.504	0.8370434782608696	94.289	33.896	1570.429	272.804	4162.286	1061.496	638.282	493.734
HS_X5mfB1vgISTp6cagPLnp0zyh4EI2	26	HS	0	34.192	0.8140952380952381	65.902	15.636	1318.571	192.619	3799.0	811.58	682.6	340.202
LS_X5mfB1vgISTp6cagPLnp0zyh4EI2	26	LS	1	38.383	0.8723409090909091	71.233	16.101	1338.714	158.407	4378.0	1227.44	745.486	447.049
HS_ZC0eNp7u2sPw1YpHC2bH1PPUMYH3	27	HS	1	34.281	0.7791136363636363	78.14	31.99	1422.571	570.538	3720.857	1095.678	582.784	434.658
LS_ZC0eNp7u2sPw1YpHC2bH1PPUMYH3	27	LS	5	39.184	0.7535384615384615	76.647	19.851	1755.143	303.489	4155.857	1812.32	559.6	440.466
HS_ZnI96HDrRZV9xNlfQxgTU0CeoDX2	28	HS	4	58.624	1.17248	137.673	26.452	1891.286	279.395	6760.571	2981.539	943.674	575.164
