	Pr_Backspace_presses	Pr_Writing_Time	Pr_Time_per_Keystroke	Pr_Dwelltime_Mean	Pr_Dwelltime_SD	Pr_Trial_Onset_Mean	Pr_Trial_Onset_SD	Pr_Trial_Time_Mean	Pr_Trial_Time_SD	Pr_Latency_Mean	Pr_Latency_SD	Pr_samArousal	Pr_samValence	Con_Backspace_presses	Con_Writing_Time	Con_Time_per_Keystroke	Con_Dwelltime_Mean	Con_Dwelltime_SD	Con_Trial_Onset_Mean	Con_Trial_Onset_SD	Con_Trial_Time_Mean	Con_Trial_Time_SD	Con_Latency_Mean	Con_Latency_SD	Con_samArousal	Con_samValence	condition
00TRzV9mL7Vchd3wTP7GQeXQoP12	0.0	44.204	0.7246557377049181	149.574	166.969	1647.375	228.534	4113.0	638.469	447.17	482.211	1.0	2.0	1.0	44.728	0.7214193548387097	145.339	147.48	1522.5	356.693	4325.125	1480.761	471.296	513.957	2.0	2.0	1.0
0FJuIKlKgoUhc4jzmewtctIch3x2	1.0	63.259	1.0041111111111112	260.127	360.473	2066.75	998.43	6401.375	1495.717	623.527	737.381	0.0	4.0	2.0	55.055	0.860234375	200.641	221.716	1739.25	531.012	5496.25	1305.056	546.964	612.464	0.0	4.0	0.0
0SGumftAKiSMAHmiRFgYWKTuJBv2	6.0	112.841	1.1878	71.926	81.185	1742.0	1017.233	12702.25	9863.917	1089.483	1087.455	3.0	2.0	4.0	77.956	0.9392289156626507	61.12	14.344	2160.75	1087.518	8161.875	2515.168	802.96	636.038	2.0	3.0	1.0
0UJyuH8LqvNfqh0wiMd3mCOLvrr1	0.0	71.696	1.175344262295082	223.164	356.085	2165.25	587.847	7212.125	662.84	817.0	784.867	0.0	2.0	1.0	69.503	1.121016129032258	214.597	331.078	1812.25	511.718	7216.0	2172.765	806.667	898.767	0.0	2.0	0.0
0dId8WvZJXOQVEq2yiClTP09BA52	0.0	56.971	0.890171875	199.234	231.056	1639.625	701.66	5904.75	2557.219	602.089	807.088	1.0	2.0	0.0	44.2	0.7366666666666667	190.85	223.883	1423.875	453.883	4423.875	431.78	445.635	550.024	3.0	0.0	0.0
0fsPLgG0FMhnICv9c2EVyG4rxri1	3.0	44.45	0.6442028985507247	110.826	83.376	1513.0	634.619	4268.75	828.966	434.475	464.562	1.0	3.0	2.0	44.653	0.6664626865671641	134.254	149.125	1696.5	897.538	4346.125	951.349	434.525	487.939	1.0	3.0	1.0
0hviV1NhqqfHA4DiNQhduEe6US13	2.0	31.352	0.489875	186.281	177.742	1281.5	307.915	2845.625	608.107	190.375	350.123	0.0	3.0	2.0	29.64	0.456	188.154	146.091	1301.375	405.993	2681.375	768.875	156.228	281.889	0.0	3.0	1.0
0oBlAr5vhCMKUUWqF368klmi1s53	0.0	65.8	1.0612903225806452	348.71	352.148	2227.875	642.384	6390.125	993.614	607.296	605.95	1.0	1.0	5.0	72.137	1.0019027777777778	269.333	241.22	2087.125	1042.104	7516.375	3454.038	695.781	642.067	2.0	1.0	0.0
0povB0P3QMbdikY4OVOzkXGM50B3	0.0	44.222	0.7249508196721312	199.066	329.499	1514.625	198.012	4212.0	861.456	403.792	476.353	4.0	4.0	2.0	45.159	0.705609375	179.031	277.783	1706.25	517.374	4308.25	1224.198	406.339	486.15	4.0	4.0	0.0
16IHPePzbbRf36kjLcSpz4J5Ubj2	1.0	43.799	0.6952222222222222	207.524	185.045	1471.25	361.652	4200.5	636.4	371.673	538.027	1.0	1.0	1.0	43.591	0.681109375	177.188	144.665	1623.875	343.613	4076.5	1053.945	378.714	472.928	3.0	0.0	0.0
19V5wSUvDmYfC2yGiTLj1eVVEnA2	2.0	56.05	0.8623076923076922	205.785	119.876	2144.0	910.038	5418.375	1971.22	520.474	597.936	0.0	4.0	4.0	51.597	0.7166250000000001	206.097	121.382	1695.5	919.292	5262.0	1762.968	421.469	485.223	1.0	4.0	1.0
1AU4C2gCxaak4GdIqCB0UGH5mkf1	0.0	72.87	1.1945901639344263	304.738	461.101	2132.0	757.701	7325.625	1201.729	745.245	840.525	2.0	2.0	3.0	77.613	1.1759545454545455	319.091	698.23	2252.625	863.68	7949.875	2582.289	722.414	759.601	2.0	2.0	1.0
1BOJQ7PYBnOp2FWH954Dyr47DF63	6.0	45.753	0.525896551724138	152.471	164.884	793.25	555.566	5127.375	1332.959	351.316	394.163	1.0	3.0	2.0	36.624	0.5086666666666667	169.139	154.125	1179.0	591.065	3692.375	1060.149	268.344	310.174	1.0	4.0	1.0
1BSQhydrQfX1qm44zJRidfUVkgN2	0.0	88.384	1.4730666666666667	498.383	449.159	1802.75	399.048	9518.0	1136.197	1033.5	937.771	2.0	2.0	1.0	89.616	1.4454193548387098	456.516	375.946	2202.375	864.846	9489.5	2428.035	1012.111	923.37	1.0	1.0	1.0
1Foc0LlUB2VC3I6Agw9hUNHDUh02	0.0	66.299	1.1049833333333334	265.5	314.161	2696.125	2606.822	5849.875	871.843	586.788	667.989	1.0	3.0	2.0	56.953	0.850044776119403	286.0	390.399	1608.5	461.362	5850.125	1971.239	461.458	564.719	1.0	3.0	1.0
1KobFpIG5YX4SVTDDpNel4seRbS2	0.0	45.41	0.7568333333333332	191.383	248.213	1471.75	296.746	4411.75	456.724	449.404	562.377	0.0	3.0	5.0	49.173	0.6925774647887324	186.859	260.312	1404.25	193.973	4973.0	1631.92	414.254	521.361	0.0	3.0	0.0
1Z2kzBiNOPRkjKokrRQYQWQCuNo2	0.0	39.39	0.6457377049180328	173.098	199.15	1415.625	323.789	3746.375	256.934	364.113	429.233	0.0	2.0	2.0	44.109	0.6683181818181818	172.061	202.598	1324.875	452.607	4414.375	1329.166	410.759	482.268	0.0	2.0	1.0
1hjLfdc6uJbnyjcxjDuP6nnvt5U2	0.0	47.165	0.7860833333333334	149.3	201.035	2036.125	296.026	4124.5	587.864	459.115	556.259	1.0	4.0	0.0	48.719	0.8119833333333334	151.5	221.014	1954.75	425.763	4496.5	520.702	514.212	615.067	1.0	4.0	0.0
1xwsebHEkySONC5aCi4PVP4cUL53	2.0	34.87	0.5364615384615384	159.6	198.323	1305.125	197.141	3265.5	546.711	272.246	347.49	1.0	4.0	0.0	35.287	0.5881166666666666	179.833	257.899	1262.125	181.083	3340.375	671.279	301.0	438.03	0.0	4.0	1.0
21Sk5odLzKdqu8pnKMZGrc99Ddz2	1.0	49.928	0.7132571428571428	234.386	253.074	1584.0	391.87	4958.875	2669.954	372.161	534.81	2.0	1.0	2.0	46.615	0.7171538461538461	208.446	193.276	1632.875	546.628	4565.625	1578.035	398.842	610.817	2.0	2.0	0.0
29vo4ACM4uRZ3O3343JtueLwFXZ2	0.0	84.176	1.3799344262295081	306.033	440.985	2818.0	2558.616	8036.25	1702.414	914.019	887.014	1.0	4.0	1.0	81.056	1.2665	284.719	385.23	2200.0	552.921	8379.375	2216.119	913.143	830.319	2.0	4.0	0.0
2P6PHoUiTDQjioVd3Qcu6eP3mJj1	0.0	52.055	0.8675833333333334	200.867	298.159	1836.0	568.684	4969.5	620.143	524.942	590.889	0.0	2.0	0.0	50.404	0.8400666666666667	194.017	277.613	1604.375	440.834	4945.0	514.577	529.519	548.692	0.0	1.0	0.0
2QYKgN3X7hN66nEndtjGMFYyIES2	1.0	46.951	0.7452539682539683	281.032	370.289	1708.875	717.125	4590.375	1173.726	333.055	543.424	0.0	4.0	3.0	46.24	0.6901492537313433	226.806	216.084	1508.125	478.532	4609.875	2001.126	355.729	487.165	0.0	2.0	0.0
2TRk5MdvvQRVWkhzQk2o3ywZWGp2	2.0	50.847	0.794484375	195.875	313.7	1633.0	318.179	5015.125	945.207	484.196	611.103	1.0	2.0	3.0	52.657	0.7631449275362319	172.913	216.752	1545.375	398.482	5353.375	1004.714	496.295	519.335	2.0	2.0	0.0
2VTdnB31ZZV9hrPagsQ0MzrZG022	0.0	40.032	0.6671999999999999	206.45	259.144	1554.75	413.254	3770.25	536.62	337.538	417.333	1.0	3.0	1.0	46.575	0.727734375	169.422	161.667	1530.75	361.561	4553.0	1226.329	452.411	540.396	1.0	2.0	1.0
2XIPzK7fdhbMl7milylseb5fy8y1	2.0	52.851	0.8130923076923077	238.923	283.153	1761.875	509.774	5174.125	972.896	448.895	596.189	0.0	4.0	2.0	54.347	0.8111492537313433	264.851	387.166	1829.875	375.113	5292.125	847.314	406.508	523.468	0.0	4.0	0.0
2wpWjxBHShMT6zt4S08L91FvgvB2	1.0	56.504	0.9113548387096774	236.935	342.486	1653.25	424.937	5723.25	1544.661	561.667	793.987	1.0	3.0	3.0	66.614	0.9942388059701494	206.104	229.906	2054.625	897.872	6821.125	2599.278	676.746	854.08	2.0	3.0	1.0
30lRQH9S90PWBzdpmGUxPH24EDp1	0.0	66.089	1.0834262295081967	224.344	136.445	1974.375	384.951	6550.75	886.004	727.491	688.425	0.0	4.0	0.0	61.793	1.0298833333333333	244.3	249.265	1683.5	250.782	6318.375	814.812	686.577	683.386	1.0	3.0	0.0
31pQVkWc0JaxjVLbM5THlHijSfy1	1.0	70.233	1.114809523809524	267.952	333.276	2453.0	1167.247	6960.875	1054.661	695.309	755.141	2.0	3.0	0.0	65.146	1.0679672131147542	292.934	404.411	1701.5	568.583	6825.25	913.899	678.434	772.472	2.0	3.0	0.0
34Sp7P38uMUdBBL29DQpSlF9fiS2	0.0	39.971	0.6661833333333332	195.183	238.453	2981.75	2159.313	3091.125	449.636	242.769	460.826	1.0	2.0	1.0	37.553	0.6056935483870968	208.323	228.98	1773.125	457.506	3271.0	274.648	237.685	401.45	2.0	2.0	1.0
34TNiQMAZYMGjtMhxyUBfBEgC1I2	0.0	43.744	0.7171147540983607	198.508	207.212	1537.875	726.993	4307.125	1370.04	420.34	576.036	1.0	2.0	4.0	50.943	0.7277571428571429	181.529	146.108	1732.875	329.853	4927.25	3257.753	428.5	568.311	1.0	2.0	0.0
39GPxzy0G1WrQpRERrqFNsqMseX2	1.0	56.616	0.8986666666666666	258.762	432.958	2240.125	837.427	5367.75	1217.733	472.018	675.048	1.0	4.0	2.0	69.923	1.0436268656716419	257.478	344.892	2163.25	798.846	7020.75	1867.141	650.085	893.088	2.0	4.0	0.0
3NIPBZV3RkdGACEFsjCSGQijNJL2	1.0	62.558	1.009	208.194	261.981	2898.125	918.457	5382.375	1157.482	578.056	707.549	1.0	1.0	2.0	50.999	0.796859375	194.219	193.755	2275.375	521.346	4504.625	510.328	454.143	516.032	1.0	1.0	0.0
3VyP4jiey9RwXCRTKpa7uOXPRU42	0.0	45.284	0.7423606557377049	131.459	168.992	1559.0	293.317	4344.75	841.575	501.83	546.037	2.0	3.0	2.0	45.313	0.6865606060606061	131.061	153.149	1739.375	313.27	4188.375	1366.589	423.776	461.21	3.0	3.0	0.0
3WDqUOFGX3TZoAlhGDc5B20nezE3	0.0	48.61	0.7968852459016393	213.672	154.459	2318.75	1866.3	4646.75	511.836	451.887	488.147	0.0	4.0	1.0	52.394	0.81865625	205.062	119.317	2097.75	1302.171	5113.75	1551.397	495.357	536.001	0.0	4.0	1.0
3ZHXG0tuFzNjQGQJD3NBt5iLCfL2	3.0	55.216	0.8366060606060606	224.015	368.706	2026.625	513.78	5092.875	2036.293	426.345	624.338	2.0	3.0	0.0	46.944	0.7695737704918033	222.033	333.284	1858.375	691.262	4444.625	982.51	390.019	639.413	3.0	3.0	1.0
3iFZ5RUElZgbgfNyHDFswuPuZBo1	0.0	52.077	0.86795	230.567	303.799	1519.625	356.16	5229.25	433.73	533.346	575.316	1.0	3.0	0.0	51.312	0.8552	204.15	228.111	1487.875	454.104	5252.125	538.899	568.904	594.181	2.0	2.0	0.0
3ipNrDxaYRgdxHfp9zOXZVGu4Z03	1.0	61.297	0.9886612903225805	238.742	341.848	1995.25	630.441	6037.75	1575.365	606.796	763.608	0.0	2.0	2.0	52.263	0.7918636363636363	201.894	174.844	1763.875	610.414	5175.75	1396.728	474.897	601.007	1.0	2.0	1.0
3lgrcOcBNIZtTjaEzRipaEFxmJN2	2.0	114.229	1.7573692307692308	412.846	741.179	3160.75	806.213	11542.75	4584.782	1136.351	1270.652	0.0	4.0	1.0	104.171	1.6801774193548389	383.887	550.646	3210.5	1899.094	10792.125	3135.819	1129.667	1372.541	0.0	4.0	0.0
3mRxZ3IDvGa7CKGRs8y6E06gnIX2	0.0	35.647	0.5843770491803278	188.262	171.463	1346.625	416.778	3399.25	183.831	293.245	355.777	0.0	2.0	0.0	31.602	0.5267000000000001	179.6	109.284	1389.75	478.541	2871.25	393.984	231.788	313.671	0.0	2.0	1.0
3n49gIKP7yYoIS4BoWniuNGGGBm1	0.0	34.161	0.560016393442623	137.885	126.597	1264.125	362.393	3273.125	747.103	335.075	383.388	0.0	3.0	0.0	32.529	0.54215	136.517	120.433	1226.875	350.413	3088.5	300.27	316.731	395.181	0.0	3.0	1.0
3qWCCKreKGSOX9S0GiiRdJn3KUx1	1.0	80.078	1.271079365079365	393.857	604.936	2267.375	574.745	8037.25	2278.302	714.182	937.315	1.0	2.0	1.0	71.048	1.1459354838709677	326.306	473.585	2242.625	860.596	7009.625	1766.258	661.13	838.065	1.0	3.0	1.0
42IbLK5mCyXDYxurCgy1W90y2lQ2	0.0	52.424	0.8455483870967742	213.242	344.211	1664.25	416.776	5133.5	1178.416	510.426	636.178	1.0	3.0	8.0	62.049	0.8164342105263158	186.184	299.212	1702.875	529.308	6400.25	4972.37	538.985	749.773	1.0	3.0	0.0
43kl8zPi7hcFnUB4ydZw7KPJnc72	1.0	55.016	0.8732698412698412	192.0	186.615	1558.875	651.331	5518.625	1300.077	571.364	719.078	0.0	4.0	0.0	50.581	0.8291967213114755	214.951	215.674	1686.25	374.314	4933.625	928.849	484.057	594.301	1.0	4.0	1.0
49KpB6ZupuODFl4JjF6zSVHu4VA3	0.0	72.392	1.2065333333333332	332.767	616.288	2399.25	484.126	6984.125	1772.986	687.038	811.422	1.0	4.0	1.0	71.036	1.1099375	299.219	451.904	1850.25	775.854	7044.375	1184.035	660.964	808.155	1.0	3.0	0.0
