firebase_id,jahr,sex,schule,keyboard,mouse_hand
Yk8t8Rer8OaICnEFw1iYBG1zFPl1,1966.0,2.0,3.0,1.0,0.0
R1WUe3OPHzgczecAhkCPDddiy073,1966.0,2.0,4.0,1.0,0.0
EfgWEz9JmJO7sL6d1uNFreKlsOn2,1970.0,2.0,6.0,1.0,0.0
IOvNKGD2hEZI96zr0j2mFO30Dct1,1961.0,1.0,3.0,1.0,0.0
yIFfooAl44OpS1Ukuc5AewEhds33,1949.0,2.0,5.0,,
nYOENoVTezNUDzMrv5WPx1JKC7w1,1963.0,2.0,2.0,1.0,0.0
Qv3SO02vBxQW4APFvJJTTKbvegT2,1957.0,2.0,3.0,1.0,0.0
34Sp7P38uMUdBBL29DQpSlF9fiS2,1964.0,2.0,5.0,1.0,0.0
KGs6FQVPbiZVTv7L7oOJDiunow83,1969.0,2.0,4.0,0.0,0.0
Zc71mUKEkPYeWX6XalMwJUWhJ9I3,1967.0,2.0,6.0,1.0,0.0
WlzK3HuIEHXntS1RgEVMuyXiwZo1,1976.0,2.0,5.0,1.0,0.0
QaKcqucZvEa8Tc80QEF3EPeyv0G2,1979.0,1.0,4.0,1.0,0.0
bqpeDlDVCahnCzoWmBdqqjPhtmQ2,1968.0,1.0,3.0,1.0,0.0
F8C2lCFOpvgkrltYIObNLOjnBXg1,1974.0,2.0,4.0,1.0,0.0
FQwaEAatzTa07Xr4c73rXakX9mp1,1949.0,2.0,4.0,1.0,0.0
CktwmZQMXBUP0EdMF6C3hwjthy93,1978.0,2.0,5.0,1.0,0.0
PO6sw2GYI5PnSNXpzdEMDJ739Ug2,1968.0,2.0,4.0,1.0,1.0
bMvwJcVvVJNag0QZ8MlRZ9jdXNu2,1979.0,2.0,5.0,1.0,0.0
FfYg7oe4WFYVmzdAA7rv7eZuzML2,1979.0,2.0,4.0,1.0,0.0
BOB0EhVmzTP402XQW1yC5OIsYy93,1971.0,2.0,4.0,,
mNGNuWUT4obaRmPIzdxxEBNgujZ2,1959.0,1.0,6.0,1.0,0.0
BzASmzG7UPXKgzKzw8m0I0vnX4z1,1967.0,2.0,4.0,,
vqcj9w4IwhUf8zYSiqkAt1vLX232,1957.0,1.0,5.0,1.0,0.0
43kl8zPi7hcFnUB4ydZw7KPJnc72,1955.0,1.0,4.0,0.0,0.0
FKE7xrOEaRgQDBvqFTZJyD7ZM3q2,1945.0,1.0,3.0,0.0,0.0
oSzAPIzgxUXk2FcydUV1YNz86xO2,1973.0,2.0,6.0,0.0,0.0
CjrLGJyZ10NHX7ILtQYuFPRx6NG3,1973.0,1.0,4.0,1.0,0.0
TQQl6iADafXEukVwMrBFVEQJQOC2,1960.0,1.0,4.0,1.0,0.0
QidgVrFSq3fShRwg9MSWkHgyvWy2,1968.0,1.0,4.0,1.0,0.0
nSyGVLIwEATSwFC58qyU6pklAq12,1945.0,1.0,5.0,1.0,0.0
GC6qdNoBJ5TwDFo0BMGlfEmfZxk2,1981.0,2.0,5.0,1.0,0.0
A9xOhFv0ZCdmuhbFgpLyIFVO4XE3,1967.0,2.0,4.0,0.0,0.0
TzUyTCyCWth4RZhbWYBuHszh0LL2,1965.0,1.0,3.0,,
YoTew7EVHAY4P7WT9JgQX7YHRnO2,1969.0,2.0,4.0,1.0,0.0
hj9vT9WXrqhxyubVrPjX8qlO2gi2,1965.0,2.0,4.0,0.0,0.0
EtaIK9t3H6YUqYLZDJ7CiaQQSwZ2,1963.0,2.0,4.0,1.0,0.0
CZwyh2u1ABcbEoKsDb8ayOUhAcb2,1968.0,1.0,4.0,1.0,0.0
Y4g4KKzRxtQ4JKBoIerRKOP7ud72,1972.0,1.0,3.0,,
cna8BtvT9jgnR5NadoE6ckNbFv72,1978.0,2.0,5.0,0.0,0.0
VjHLZJBNX1YO9iRGnUh6LmTEaeb2,1963.0,2.0,4.0,1.0,0.0
ohs0DHtfp7MT9F20scXU8cP17sx2,1945.0,2.0,6.0,,
Nzu9gcbkByaLLGMo0WXK0B2kjvx1,1953.0,2.0,3.0,1.0,0.0
3ipNrDxaYRgdxHfp9zOXZVGu4Z03,1957.0,2.0,5.0,1.0,0.0
DddaYCb1jXh36ey1jaq8eNGdTI03,1980.0,1.0,4.0,1.0,0.0
5ScJnvKYFge4YTnDZnuVfLkAQ8q2,1981.0,2.0,4.0,1.0,1.0
ZyZZN0rWihcRL3lVcAE17ke1ovP2,1978.0,1.0,3.0,,
ONGos54mvDedpDxdgs2PsVxjeIt1,1976.0,1.0,4.0,1.0,0.0
7W9ozOPxiMSZ9tKA4YwSBx5XWb73,1977.0,2.0,5.0,1.0,0.0
phdouek7oqS833gA2XAjCDEGKjw1,1981.0,1.0,4.0,,
r7VIAQzTmOW55eZKDtQEQSw8OMj2,1975.0,2.0,3.0,,
O0UjLiAs76S7lygTpccohK919ix1,1979.0,1.0,5.0,,
hDGSgMgxKaYH79hJ9KVfxm1JIit2,1956.0,1.0,5.0,0.0,0.0
vwDQnTBZ8XYzimJGEkjxmH2gpme2,1971.0,1.0,3.0,0.0,0.0
PItfPfOmiHPVDtSZLo4P4hyd3C83,1979.0,2.0,4.0,1.0,1.0
0UHLxILBnpcB90XmPY7ITjDS7IB2,1951.0,2.0,2.0,,
